============================================================
  ADS-B RECEIVER STATISTICS
============================================================
  Data points   : 362,666
  Unique aircraft: 760
  Date range    : 2025-11-20 to 2026-02-06
  Days of data  : 79
  Flight sessions: 8,432

------------------------------------------------------------
  TOP 760 — TIME IN AIRSPACE (cumulative observed time)
------------------------------------------------------------
  138. N555AV               2m 43s   (5 sessions)
  139. N17BM                2m 40s   (5 sessions)
  140. N341TM               2m 39s   (6 sessions)
  141. N534HQ               2m 38s   (2 sessions)
  142. N978GV               2m 37s   (9 sessions)
  143. N185PB               2m 35s   (7 sessions)
  144. N621TK               2m 34s   (7 sessions)
  145. N19U                 2m 29s   (3 sessions)
  146. N523DL               2m 28s   (6 sessions)
  147. N53265               2m 27s   (5 sessions)
  148. N618MM               2m 27s   (6 sessions)
  149. N1846Z               2m 26s   (4 sessions)
  150. N523AB               2m 24s   (5 sessions)
  151. PRE315               2m 24s   (13 sessions)
  152. N485DL               2m 23s   (7 sessions)
  153. N3802C               2m 23s   (6 sessions)
  154. CHILD1               2m 21s   (4 sessions)
  155. N703BK               2m 20s   (5 sessions)
  156. N10897               2m 20s   (4 sessions)
  157. N526LK               2m 18s   (5 sessions)
  158. N851MB               2m 14s   (4 sessions)
  159. N3547L               2m 12s   (5 sessions)
  160. N9811U                2m 8s   (4 sessions)
  161. CAP582                2m 8s   (8 sessions)
  162. N1337K                2m 6s   (4 sessions)
  163. N6161X                2m 4s   (6 sessions)
  164. N3051A                2m 1s   (4 sessions)
  165. PRE90                 2m 0s   (4 sessions)
  166. N2459S                2m 0s   (4 sessions)
  167. N404FR                2m 0s   (5 sessions)
  168. N75GL                1m 59s   (4 sessions)
  169. N1330N               1m 56s   (6 sessions)
  170. N505JF               1m 53s   (4 sessions)
  171. N5341M               1m 51s   (3 sessions)
  172. N2744W               1m 50s   (5 sessions)
  173. N3952Q               1m 48s   (4 sessions)
  174. N736RP               1m 46s   (5 sessions)
  175. N6322A               1m 46s   (3 sessions)
  176. N216BD               1m 46s   (5 sessions)
  177. N400MZ               1m 46s   (3 sessions)
  178. N98444               1m 45s   (2 sessions)
  179. N114RG               1m 44s   (5 sessions)
  180. N400BC               1m 41s   (5 sessions)
  181. N8141Y               1m 41s   (5 sessions)
  182. N172MT               1m 40s   (6 sessions)
  183. N570JD               1m 38s   (5 sessions)
  184. N24144               1m 38s   (5 sessions)
  185. CXK1076              1m 37s   (5 sessions)
  186. N272DS               1m 37s   (5 sessions)
  187. N322BW               1m 36s   (8 sessions)
  188. N1352U               1m 36s   (3 sessions)
  189. N8125P               1m 35s   (6 sessions)
  190. N7883Z               1m 35s   (2 sessions)
  191. PCH2                 1m 34s   (3 sessions)
  192. CXK434               1m 33s   (4 sessions)
  193. N441A                1m 33s   (5 sessions)
  194. N2439S               1m 30s   (2 sessions)
  195. N5122U               1m 30s   (3 sessions)
  196. N108NG               1m 30s   (6 sessions)
  197. N838SP               1m 30s   (4 sessions)
  198. N734EQ               1m 30s   (3 sessions)
  199. N527JT               1m 29s   (2 sessions)
  200. N268DA               1m 29s   (4 sessions)
  201. N222AG               1m 27s   (3 sessions)
  202. N4389D               1m 27s   (2 sessions)
  203. CFXFT                1m 27s   (3 sessions)
  204. N211EE               1m 26s   (4 sessions)
  205. N720DR               1m 26s   (3 sessions)
  206. N244WH               1m 24s   (4 sessions)
  207. N7301P               1m 21s   (3 sessions)
  208. N756UJ               1m 21s   (3 sessions)
  209. N350FG               1m 20s   (4 sessions)
  210. N353VR               1m 20s   (2 sessions)
  211. N7018R               1m 20s   (2 sessions)
  212. N2657D               1m 19s   (1 sessions)
  213. N112NR               1m 19s   (3 sessions)
  214. N763CB               1m 19s   (2 sessions)
  215. N144RU               1m 17s   (7 sessions)
  216. N74894               1m 16s   (3 sessions)
  217. TWY818               1m 16s   (3 sessions)
  218. N5275S               1m 15s   (3 sessions)
  219. N5808T               1m 14s   (5 sessions)
  220. N89764               1m 14s   (1 sessions)
  221. N888AW               1m 13s   (2 sessions)
  222. N971KC               1m 13s   (3 sessions)
  223. N343AK               1m 12s   (3 sessions)
  224. N589E                1m 12s   (4 sessions)
  225. N7293B               1m 12s   (2 sessions)
  226. N221FD               1m 11s   (4 sessions)
  227. N967JB               1m 11s   (3 sessions)
  228. N818RD               1m 10s   (2 sessions)
  229. N311XX                1m 9s   (10 sessions)
